Date,CSUSHPINSA,CSUSHPINSArate
2013-06-01,156.438,0.016696020640934783
2013-07-01,158.298,0.011889694319794586
2013-08-01,159.405,0.006993139521661584
2013-09-01,159.68,0.0017251654590508814
2013-10-01,159.558,-0.0007640280561123092
2013-11-01,159.361,-0.001234660750322747
2013-12-01,159.282,-0.000495729820972346
2014-01-01,159.38,0.0006152609836640455
2014-02-01,159.891,0.00320617392395528
2014-03-01,161.21,0.008249369883233104
2014-04-01,162.989,0.011035295577197513
2014-05-01,164.702,0.010509911711833242
2014-06-01,166.225,0.009247003679372368
2014-07-01,167.142,0.0055166190404571935
2014-08-01,167.456,0.0018786421126946173
2014-09-01,167.25099999999995,-0.0012242021784829582
2014-10-01,166.922,-0.001967103335704712
2014-11-01,166.675,-0.0014797330489688676
2014-12-01,166.485,-0.001139943002849808
2015-01-01,166.285,-0.0012013094272758096
2015-02-01,166.675,0.002345370899359711
2015-03-01,168.13299999999995,0.008747562621868488
2015-04-01,170.007,0.011145938037149472
2015-05-01,171.88099999999997,0.011023075520419479
2015-06-01,173.47400000000005,0.009268040097509811
2015-07-01,174.513,0.005989370164981356
2015-08-01,174.957,0.002544223066476281
2015-09-01,175.071,0.0006515886760747325
2015-10-01,175.083,6.854361944585996e-05
2015-11-01,175.185,0.0005825808330905957
2015-12-01,175.16299999999995,-0.00012558152809916123
2016-01-01,175.08,-0.0004738443621080668
2016-02-01,175.32,0.001370801919122533
2016-03-01,176.637,0.007511978097193728
2016-04-01,178.52700000000004,0.01069990998488457
2016-05-01,180.377,0.010362578209458295
2016-06-01,181.955,0.008748343746708409
2016-07-01,183.065,0.006100409441894827
2016-08-01,183.712,0.0035342637860868997
2016-09-01,184.011,0.0016275474655984556
2016-10-01,184.093,0.000445625533256111
2016-11-01,184.315,0.001205912229145012
2016-12-01,184.491,0.0009548870140791976
2017-01-01,184.739,0.0013442390143691973
2017-02-01,185.101,0.0019595212705492138
2017-03-01,186.604,0.008119891302586169
2017-04-01,188.611,0.010755396454523947
2017-05-01,190.611,0.010603835407266837
2017-06-01,192.347,0.009107554128565676
2017-07-01,193.601,0.006519467420859071
2017-08-01,194.441,0.004338820563943413
2017-09-01,194.914,0.0024326145205999516
2017-10-01,195.181,0.0013698349015465183
2017-11-01,195.549,0.0018854294219212697
2017-12-01,195.947,0.002035295501383372
2018-01-01,196.218,0.001383027043026841
2018-02-01,197.01,0.004036326942482349
2018-03-01,198.679,0.008471651185218976
2018-04-01,200.723,0.010287951922447913
2018-05-01,202.562,0.009161879804506778
2018-06-01,204.153,0.007854385323999402
2018-07-01,205.066,0.0044721360940078725
2018-08-01,205.448,0.0018628148986179482
2018-09-01,205.507,0.0002871772906039016
2018-10-01,205.515,3.892811437067323e-05
2018-11-01,205.266,-0.001211590394861628
