Date,NEWORDER,NEWORDERrate
2018-09-01,65848.0,0.0007446921685740904
2018-10-01,66446.0,0.009081521078848187
2018-11-01,64336.0,-0.0317551094121542
2018-12-01,65150.0,0.012652325292215938
2019-01-01,66454.0,0.020015349194167253
2019-02-01,65816.0,-0.009600625996930234
2019-03-01,67379.0,0.023748024796402145
2019-04-01,66092.0,-0.019100906810727403
2019-05-01,65051.0,-0.015750771651637074
2019-06-01,66439.0,0.021337104733209378
2019-07-01,66224.0,-0.00323605111455616
2019-08-01,65864.0,-0.005436095675283914
2019-09-01,65769.0,-0.0014423660876958788
2019-10-01,65954.0,0.0028128753668141826
2019-11-01,66545.0,0.008960790854231737
2019-12-01,66240.0,-0.004583364640468823
2020-01-01,66824.0,0.008816425120772964
2020-02-01,66453.0,-0.005551897521848481
2020-03-01,65608.0,-0.0127157539915429
