Date,PPIACO,PPIACOrate
2019-05-01,201.7,-0.0019792182088075316
2019-06-01,200.3,-0.006941001487357323
2019-07-01,200.7,0.001997004493260013
2019-08-01,199.2,-0.007473841554558991
2019-09-01,198.4,-0.004016064257028051
2019-10-01,198.6,0.0010080645161290036
2019-11-01,199.0,0.002014098690835908
2019-12-01,199.0,0.0
2020-01-01,199.3,0.001507537688442362
2020-02-01,196.7,-0.01304565980933281
2020-03-01,193.1,-0.018301982714794107
2020-04-01,186.0,-0.03676851372345935
2020-05-01,189.4,0.018279569892473146
2020-06-01,191.1,0.008975712777191003
2020-07-01,192.9,0.009419152276295195
2020-08-01,,
2020-09-01,,
2020-10-01,,
