Date,KORPROINDMISMEI,KORPROINDMISMEIrate
2009-06-01,80.1336778064839,0.03944944607321732
2009-07-01,82.0688390699225,0.024149163203414314
2009-08-01,82.7368947412284,0.008140186688113227
2009-09-01,86.1481790149179,0.04123050888432278
2009-10-01,84.5520460038336,-0.0185277626217486
2009-11-01,85.0680890074173,0.0061032586196707594
2009-12-01,86.2241853487791,0.01359024699921263
2010-01-01,87.3542795232936,0.013106463922427647
2010-02-01,89.0054171180932,0.01890162226521852
2010-03-01,90.1595132927744,0.012966583518730479
2010-04-01,91.6406367197266,0.016427810808411936
2010-05-01,92.5787148929077,0.010236486855172311
2010-06-01,92.8037336444704,0.0024305668081803233
2010-07-01,93.4247853987832,0.006692098797361323
2010-08-01,92.9487457288108,-0.005095432308893422
2010-09-01,93.599799983332,0.007004443679323291
2010-10-01,93.4507875656305,-0.0015920164116594027
