Date,TOTALSA,TOTALSArate
2010-03-01,11.772,0.14125060591371796
2010-04-01,11.454,-0.02701325178389391
2010-05-01,12.03,0.0502881089575693
2010-06-01,11.598,-0.03591022443890268
2010-07-01,11.947,0.03009139506811498
2010-08-01,12.014,0.005608102452498542
2010-09-01,11.922,-0.007657732645247162
2010-10-01,12.414,0.0412682435832914
2010-11-01,12.3,-0.009183180280328607
2010-12-01,12.606,0.024878048780487827
2011-01-01,12.806,0.015865460891638872
2011-02-01,13.081,0.02147430891769475
2011-03-01,13.259,0.01360752236067575
2011-04-01,13.327,0.005128591899841606
2011-05-01,12.28,-0.07856231710062289
2011-06-01,11.886,-0.032084690553745965
2011-07-01,12.719,0.07008244994110724
2011-08-01,12.604,-0.009041591320072317
2011-09-01,13.356,0.059663598857505606
2011-10-01,13.731,0.028077268643306397
2011-11-01,13.742,0.0008011069841964424
2011-12-01,13.798,0.00407509823897545
2012-01-01,14.395,0.04326714016524136
2012-02-01,14.975,0.04029176797499123
2012-03-01,14.594,-0.025442404006677855
2012-04-01,14.77,0.012059750582431139
2012-05-01,14.496,-0.01855111712931612
2012-06-01,14.467,-0.002000551876379708
2012-07-01,14.38,-0.006013686320591627
2012-08-01,14.444,0.004450625869262925
2012-09-01,15.099,0.045347549155358546
2012-10-01,14.831,-0.017749519835750793
2012-11-01,15.456,0.04214146045445344
2012-12-01,15.462,0.00038819875776407997
2013-01-01,15.813,0.022700814901047695
2013-02-01,15.861,0.0030354771390628255
2013-03-01,15.723,-0.008700586343862282
2013-04-01,15.81,0.0055332951726769775
2013-05-01,15.884,0.00468058191018339
2013-06-01,16.148,0.016620498614958512
2013-07-01,16.021,-0.007864751052761854
2013-08-01,15.827,-0.012109106797328573
2013-09-01,15.857,0.00189549504012132
2013-10-01,15.728,-0.008135208425301133
2013-11-01,16.078,0.022253306205493262
2013-12-01,15.834,-0.015176016917527013
2014-01-01,15.614,-0.013894151825186274
2014-02-01,15.993,0.02427308825413088
2014-03-01,16.985,0.062027136872381705
2014-04-01,16.697,-0.016956137768619373
2014-05-01,17.137,0.026352039288495055
2014-06-01,17.516,0.022115889595611726
2014-07-01,17.277,-0.01364466773235884
2014-08-01,17.239,-0.0021994559240609
2014-09-01,16.959,-0.016242241429317295
2014-10-01,16.757,-0.011911079662715873
2014-11-01,16.947,0.01133854508563581
2014-12-01,17.179,0.013689738596801782
2015-01-01,16.935,-0.014203387857267602
2015-02-01,16.889,-0.0027162680838499487
2015-03-01,17.849,0.0568417313043994
2015-04-01,17.638,-0.011821390554092592
2015-05-01,18.017,0.0214876970178024
2015-06-01,17.87,-0.008158960981295316
2015-07-01,18.314,0.02484611080022381
