Date,AMBNS,AMBNSrate
2011-03-01,2418.235,0.08276965082952792
2011-04-01,2523.424,0.043498253891784744
2011-05-01,2588.177,0.0256607688600885
2011-06-01,2668.01,0.030845262901262105
2011-07-01,2706.778,0.014530680169864363
2011-08-01,2679.411,-0.010110544714047376
2011-09-01,2656.543,-0.008534711546679508
2011-10-01,2663.548,0.0026368856065945856
2011-11-01,2625.315,-0.014354162192684261
2011-12-01,2640.078,0.005623325200975859
2012-01-01,2659.039,0.00718198477469234
2012-02-01,2720.795,0.023224932014912048
2012-03-01,2673.317,-0.017450046769418526
2012-04-01,2665.101,-0.0030733354854661776
2012-05-01,2632.839,-0.012105357357938828
2012-06-01,2641.487,0.0032846672356343642
2012-07-01,2672.63,0.011789950130362215
2012-08-01,2668.787,-0.001437909474936827
2012-09-01,2616.571,-0.01956544302711305
