Date,HSN1F,HSN1Frate
2011-03-01,300.0,0.11111111111111116
2011-04-01,310.0,0.03333333333333344
2011-05-01,305.0,-0.016129032258064502
2011-06-01,301.0,-0.013114754098360604
2011-07-01,296.0,-0.01661129568106312
2011-08-01,299.0,0.010135135135135087
2011-09-01,304.0,0.01672240802675584
2011-10-01,316.0,0.03947368421052633
2011-11-01,328.0,0.03797468354430378
2011-12-01,341.0,0.03963414634146334
2012-01-01,335.0,-0.017595307917888547
2012-02-01,366.0,0.09253731343283578
2012-03-01,354.0,-0.032786885245901676
2012-04-01,354.0,0.0
2012-05-01,370.0,0.04519774011299438
2012-06-01,360.0,-0.027027027027026973
2012-07-01,369.0,0.02499999999999991
2012-08-01,375.0,0.016260162601626105
2012-09-01,385.0,0.026666666666666616
